delta,flipAngle,TR,numSatPulse,pulseDur,numExc,satTrainPerBoost,TR_MT,b1
8000,4,0.015,2,0.000768,1,1,1,8.09283214013121
8000,4,0.015,2,0.001024,1,1,1,7.00859822191681
8000,4,0.015,2,0.00128,1,1,1,6.26868082047606
8000,4,0.015,2,0.002048,1,1,1,4.95582732932936
8000,4,0.015,4,0.000768,1,1,1,5.72249648529122
8000,4,0.015,4,0.001024,1,1,1,4.95582732932936
8000,4,0.03,2,0.000768,2,1,1,10.6530037263356
8000,4,0.03,2,0.001024,2,1,1,9.22577185361694
8000,4,0.03,2,0.00128,2,1,1,8.25178120383669
8000,4,0.03,2,0.002048,2,1,1,6.52360583937253
8000,4,0.03,4,0.000768,2,1,1,7.53281117489748
8000,4,0.03,4,0.001024,2,1,1,6.52360583937253
8000,4,0.06,2,0.000768,4,1,1,14
8000,4,0.06,2,0.001024,4,1,1,13.0472116787451
8000,4,0.06,2,0.00128,4,1,1,11.6697808922012
8000,4,0.06,2,0.002048,4,1,1,9.22577185361694
8000,4,0.06,4,0.000768,4,1,1,10.6530037263356
8000,4,0.06,4,0.001024,4,1,1,9.22577185361694
8000,4,0.06,4,0.00128,4,1,1,8.25178120383669
8000,4,0.06,4,0.002048,4,1,1,6.52360583937253
8000,4,0.06,6,0.000768,4,1,1,8.69814111916337
8000,4,0.06,6,0.001024,4,1,1,7.53281117489748
8000,4,0.06,6,0.00128,4,1,1,6.73755113949633
8000,4,0.06,8,0.000768,4,1,1,7.53281117489748
8000,4,0.06,8,0.001024,4,1,1,6.52360583937253
8000,4,0.06,8,0.00128,4,1,1,5.83489044610062
8000,4,0.06,10,0.000768,4,1,1,6.73755113949633
8000,4,0.07,2,0.000768,6,1,1,14
8000,4,0.07,2,0.001024,6,1,1,13.6189325173007
8000,4,0.07,2,0.00128,6,1,1,12.1811435558667
8000,4,0.07,2,0.002048,6,1,1,9.63003953550533
8000,4,0.07,4,0.000768,6,1,1,11.1198118362615
8000,4,0.07,4,0.001024,6,1,1,9.63003953550533
8000,4,0.07,4,0.00128,6,1,1,8.61336921096016
8000,4,0.07,6,0.000768,6,1,1,9.07928834486715
8000,4,0.08,2,0.000768,6,1,1,14
8000,4,0.08,2,0.001024,6,1,1,14
8000,4,0.08,2,0.00128,6,1,1,13.4751022789927
8000,4,0.08,2,0.002048,6,1,1,10.6530037263356
8000,4,0.08,4,0.000768,6,1,1,12.3010291381559
8000,4,0.08,4,0.001024,6,1,1,10.6530037263356
8000,4,0.08,4,0.00128,6,1,1,9.52833619865802
8000,4,0.08,4,0.002048,6,1,1,7.53281117489748
8000,4,0.08,6,0.000768,6,1,1,10.0437482331966
8000,4,0.08,6,0.001024,6,1,1,8.69814111916337
8000,4,0.08,6,0.00128,6,1,1,7.77985392813416
8000,4,0.08,6,0.002048,6,1,1,6.15051456907796
8000,4,0.08,8,0.000768,6,1,1,8.69814111916337
8000,4,0.08,8,0.001024,6,1,1,7.53281117489748
8000,4,0.08,8,0.00128,6,1,1,6.73755113949633
8000,4,0.08,10,0.000768,6,1,1,7.77985392813416
8000,4,0.08,10,0.001024,6,1,1,6.73755113949633
8000,4,0.08,10,0.00128,6,1,1,6.02624893991799
8000,4,0.08,12,0.000768,6,1,1,7.10200248422375
8000,4,0.08,12,0.001024,6,1,1,6.15051456907796
8000,4,0.08,14,0.000768,6,1,1,6.57517664852894
8000,4,0.08,16,0.000768,6,1,1,6.15051456907796
8000,4,0.09,2,0.000768,6,1,1,14
8000,4,0.09,2,0.000768,8,1,1,14
8000,4,0.09,2,0.001024,6,1,1,14
8000,4,0.09,2,0.001024,8,1,1,14
